n,alpha,d,theta_star,power
1000,0.1,1,0.28,1
1000,0.1,2,0.28,1
1000,0.1,10,0.28,1
1000,0.1,1,0.281,1
1000,0.1,2,0.281,1
1000,0.1,10,0.281,1
1000,0.1,1,0.282,1
1000,0.1,2,0.282,1
1000,0.1,10,0.282,1
1000,0.1,1,0.283,1
1000,0.1,2,0.283,1
1000,0.1,10,0.283,1
1000,0.1,1,0.284,1
1000,0.1,2,0.284,1
1000,0.1,10,0.284,1
1000,0.1,1,0.285,1
1000,0.1,2,0.285,1
1000,0.1,10,0.285,1
1000,0.1,1,0.286,1
1000,0.1,2,0.286,1
1000,0.1,10,0.286,1
1000,0.1,1,0.287,1
1000,0.1,2,0.287,1
1000,0.1,10,0.287,1
1000,0.1,1,0.288,1
1000,0.1,2,0.288,1
1000,0.1,10,0.288,1
1000,0.1,1,0.289,1
1000,0.1,2,0.289,1
1000,0.1,10,0.289,1
1000,0.1,1,0.29,1
1000,0.1,2,0.29,1
1000,0.1,10,0.29,1
1000,0.1,1,0.291,1
1000,0.1,2,0.291,1
1000,0.1,10,0.291,1
1000,0.1,1,0.292,1
1000,0.1,2,0.292,1
1000,0.1,10,0.292,1
1000,0.1,1,0.293,1
1000,0.1,2,0.293,1
1000,0.1,10,0.293,1
1000,0.1,1,0.294,1
1000,0.1,2,0.294,1
1000,0.1,10,0.294,1
1000,0.1,1,0.295,1
1000,0.1,2,0.295,1
1000,0.1,10,0.295,1
1000,0.1,1,0.296,1
1000,0.1,2,0.296,1
1000,0.1,10,0.296,1
1000,0.1,1,0.297,1
1000,0.1,2,0.297,1
1000,0.1,10,0.297,1
1000,0.1,1,0.298,1
1000,0.1,2,0.298,1
1000,0.1,10,0.298,1
1000,0.1,1,0.299,1
1000,0.1,2,0.299,1
1000,0.1,10,0.299,1
1000,0.1,1,0.3,1
1000,0.1,2,0.3,1
1000,0.1,10,0.3,1
1000,0.1,1,0.301,1
1000,0.1,2,0.301,1
1000,0.1,10,0.301,1
1000,0.1,1,0.302,1
1000,0.1,2,0.302,1
1000,0.1,10,0.302,1
1000,0.1,1,0.303,1
1000,0.1,2,0.303,1
1000,0.1,10,0.303,1
1000,0.1,1,0.304,1
1000,0.1,2,0.304,1
1000,0.1,10,0.304,1
1000,0.1,1,0.305,1
1000,0.1,2,0.305,1
1000,0.1,10,0.305,1
1000,0.1,1,0.306,1
1000,0.1,2,0.306,1
1000,0.1,10,0.306,1
1000,0.1,1,0.307,1
1000,0.1,2,0.307,1
1000,0.1,10,0.307,1
1000,0.1,1,0.308,1
1000,0.1,2,0.308,1
1000,0.1,10,0.308,1
1000,0.1,1,0.309,1
1000,0.1,2,0.309,1
1000,0.1,10,0.309,1
1000,0.1,1,0.31,1
1000,0.1,2,0.31,1
1000,0.1,10,0.31,1
1000,0.1,1,0.311,1
1000,0.1,2,0.311,1
1000,0.1,10,0.311,1
1000,0.1,1,0.312,1
1000,0.1,2,0.312,1
1000,0.1,10,0.312,1
1000,0.1,1,0.313,1
1000,0.1,2,0.313,1
1000,0.1,10,0.313,1
1000,0.1,1,0.314,1
1000,0.1,2,0.314,1
1000,0.1,10,0.314,1
1000,0.1,1,0.315,1
1000,0.1,2,0.315,1
1000,0.1,10,0.315,1
1000,0.1,1,0.316,1
1000,0.1,2,0.316,1
1000,0.1,10,0.316,1
1000,0.1,1,0.317,1
1000,0.1,2,0.317,1
1000,0.1,10,0.317,1
